match,start,end,between_words,num_words,left_context,right_context
for the first fourteen years,9592,9620,the first fourteen,3,of difficulties. But it is a still greater evil to me that I am self-educated:,of my life I ran wild on a common and read nothing but our Uncle Thomas’ books
for many years,15905,15919,many,1,"from Archangel; more fortunate than I, who may not see my native land, perhaps,",". I am, however, in good spirits: my men are bold and apparently firm of purpose"
for many years,32621,32635,many,1,family is one of the most distinguished of that republic. My ancestors had been,"counsellors and syndics, and my father had filled several public situations wit"
for several years,37552,37569,several,1,"born at Naples, and as an infant accompanied them in their rambles. I remained","their only child. Much as they were attached to each other, they seemed to draw"
for nearly two years,86349,86369,nearly two,2,f life are not so changeable as the feelings of human nature. I had worked hard,", for the sole purpose of infusing life into an inanimate body. For this I had d"
for nearly six years,119581,119601,nearly six,2,"my mind. I passed through scenes familiar to my youth, but which I had not seen",. How altered every thing might be during that time! One sudden and desolating c
for many years,139303,139317,many,1,my salvation on my innocence.” Several witnesses were called who had known her,", and they spoke well of her; but fear and hatred of the crime of which they sup"
"for five and at another for nearly
two years",140199,140243,five and at another for nearly two,7,"quainted with the accused. I have lived in the same house with her, at one time",. During all that period she appeared to me the most amiable and benevolent of h
for many years,216037,216051,many,1,"was De Lacey. He was descended from a good family in France, where he had lived","in affluence, respected by his superiors and beloved by his equals. His son was"
for many years,216579,216593,many,1,been the cause of their ruin. He was a Turkish merchant and had inhabited Paris,", when, for some reason which I could not learn, he became obnoxious to the gove"
for several years,408349,408366,several,1,"hen I momentarily expect my release, is the only happy one which I have enjoyed",". The forms of the beloved dead flit before me, and I hasten to their arms. Fare"
For forty years,438067,438082,forty,1,ncept of a library of electronic works that could be freely shared with anyone.,", he produced and distributed Project Gutenberg™ eBooks with only a loose networ"
